Papel;EV/EBIT;P/VP;Div.Yield;Liq.2meses
LFFE3;-17,80;3,26;0;0,00
FBMC3;-3,31;-0,92;0;0,00
PTBL3;14,88;2,16;0;639219,00
TLCP4;-36,16;1,25;0;0,00
BECE3;0,00;8,72;0;0,00
ARTR3;21,37;1,91;0;0,00
BECE4;0,00;8,38;0;0,00
AZTE3;-17,01;0,90;0;1872560,00
RNEW11;-29,02;0,31;0;2883,07
RNEW3;-28,23;0,29;0;53666,90
PNOR5;4,57;0,55;0;0,00
PNOR6;4,57;0,55;0;0,00
STRP4;-1,15;-0,43;0;0,00
SOMA3;9,24;0,80;0;0,00
RNEW4;-27,71;0,27;0;106692,00
CEED4;10,87;-0,36;0;0,00
MEAL3;-8,59;0,38;0;383324,00
AMBP3;6,25;0,63;0;25533700,00
LIXC3;-6,37;1,52;0;0,00
MRVE3;9,69;0,72;0;62876900,00
PTBL4;13,21;1,47;0;0,00
KRSA3;15,41;1,05;0;0,00
BICB4;0,00;2,21;0;0,00
BICB3;0,00;2,14;0;0,00
DMFN3;0,00;1,52;0;0,00
RCSL3;-9,89;-2,09;0;193093,00
ARLA4;-17,87;-0,62;0;0,00
LIXC4;-5,65;1,26;0;0,00
MMXM3;18,64;-0,11;0;0,00
RCSL4;-9,19;-1,94;0;2720770,00
OGXP3;-16,46;-0,98;0;0,00
NTCO3;6,80;0,99;0;0,00
VTLM3;-2,88;-0,65;0;0,00
GFSA3;-6,95;0,04;0;6200930,00
ARCZ3;28,18;1,95;0;0,00
ARCZ6;28,10;1,94;0;0,00
ESTR4;-16,21;-0,08;0;8211,86
SJOS3;-188,27;-0,08;0;0,00
AZEV4;-9,05;0,29;0;1390520,00
AZEV3;-9,05;0,29;0;675353,00
VVAR11;5,91;2,06;0;0,00
VVAR4;5,90;2,06;0;0,00
BISA3;-6,21;1,18;0;0,00
LUPA3;-9,24;0,40;0;95946,10
BCAL6;452,65;-0,07;0;0,00
DJON4;-1,98;0,22;0;0,00
SPRI6;-2,86;1,24;0;0,00
BLUT4;-23,74;0,14;0;10453,20
ARLA3;-16,06;-0,45;0;0,00
SPRI3;-2,72;1,19;0;0,00
SDIA4;23,15;9,41;0;0,00
SDIA3;23,15;9,41;0;0,00
ESTR3;-15,51;-0,07;0;105,16
SCLO4;-1,43;-3,00;0;0,00
DUQE3;-2,70;-11,29;0;0,00
DASA3;9,24;0,23;0;1846240,00
ONCO3;13,46;0,48;0;12135500,00
RAIZ4;34,19;0,61;0;38022400,00
VIVR3;-3,80;0,38;0;137392,00
SPRI5;-2,14;0,96;0;0,00
IDVL4;0,00;1,16;0;0,00
CEED3;9,64;-0,16;0;257,19
PMET6;441,57;-0,05;0;0,00
BIED3;51,50;1,34;0;23823,40
BHIA3;5,35;1,34;0;27075800,00
IFCM3;-0,79;-1,29;0;1271810,00
LGLO4;-2,13;0,65;0;0,00
IDVL3;0,00;0,93;0;0,00
BRKM3;-142,88;-1,55;0;255193,00
PCAR3;2,83;0,69;0;61884600,00
CSAN3;7,05;1,56;0;213303000,00
BRKM6;-140,55;-1,37;0;3776,88
OIBR4;-4,49;-0,11;0;108357,00
BRKM5;-140,50;-1,36;0;31579300,00
DHBI3;-24,58;-0,17;0;0,00
LETO5;0,00;-0,14;0;0,00
BDLL3;-18,49;-0,06;0;466,37
IENG3;25,11;0,99;0;0,00
TOKY3;-3,95;409,10;0;455014,00
BAHI11;37,79;0,82;0;0,00
SHOW3;-0,42;0,30;0;444750,00
TXRX3;-45,60;-0,11;0;0,00
LATM11;7,74;0,02;0;0,00
CELM3;-4,26;-0,16;0;0,00
IENG5;24,33;0,79;0;0,00
RDNI3;-10,43;0,45;0;13808,20
TCSA3;-4,50;0,30;0;85811,50
BDLL4;-18,03;-0,05;0;852,95
BRPR3;-3,70;0,05;12,0289;0,00
FRTA3;-17,74;-0,04;0;0,00
REEM4;-3,84;-0,08;0;0,00
CCXC3;-0,52;-0,04;0;0,00
