Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
CFLU4;1000,00;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;8,88%;10,72%;1,10;17,68%;32,15%;0,00;60.351.000,00;0,06;8,14%
MNSA3;0,42;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%
MNSA4;0,47;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%
PORP4;2,40;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-2,08%;0,00;22.399.000,00;0,00;13,66%
PMET3;0,00;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,10%;0,00;-290.863.000,00;0,00;37,74%
IVTT3;0,00;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-0,40%;0,00;1.083.050.000,00;0,00;20,67%
CLAN3;0,00;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-1,05%;0,00;1.012.240.000,00;0,00;-63,96%
CSTB4;147,69;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%
CSTB3;150,00;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%
POPR4;10,17;0,00;0,00;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;8,66%;5,65%;1,08;15,25%;19,93%;0,00;545.803.000,00;0,82;30,93%
GNDI3;66,95;-3584,82;5,84;3,423;0,0239;2,378;79,65;87,05;-6,21;91,13;50,88;3,93%;-0,09%;1,17;3,09%;-0,16%;0,00;7.116.080.000,00;0,53;25,23%
DOHL3;6,51;-2345,00;0,71;0,791;0,0015;0,498;1,06;-10,50;1,87;-11,86;-22,64;-7,53%;-0,03%;5,91;-5,36%;-0,03%;0,00;690.209.000,00;0,22;-2,04%
DOHL4;3,94;-1419,24;0,43;0,479;0,0028;0,302;0,64;-6,36;1,13;-7,72;-14,72;-7,53%;-0,03%;5,91;-5,36%;-0,03%;10257,10;690.209.000,00;0,22;-2,04%
POSI3;4,04;-735,39;0,36;0,167;0,0678;0,138;0,44;2,55;4,24;5,28;4,04;6,54%;0,16%;1,93;7,44%;-0,05%;3665620,00;1.597.860.000,00;0,81;3,25%
ADMF3;20,03;-649,20;-1123,61;0,000;0;4,018;0,00;-656,49;0,00;-656,49;-656,49;0,00%;0,00%;0,00;0,00%;173,08%;1665,09;-104.000,00;0,00;0,00%
PLDN4;486,00;-553,07;1,08;0,919;0;0,611;1,07;-75,56;3,10;-33,12;-33,12;-1,22%;-0,17%;10,81;-1,27%;-0,20%;0,00;289.939.000,00;0,01;10,26%
LCSA4;35,09;-337,52;-228,00;79,738;0;125,308;-202,27;-505,80;-96,61;-506,56;-506,56;-15,77%;-23,63%;0,29;-28,74%;67,55%;0,00;-377.568.000,00;-0,35;6.354,07%
BHGR3;19,10;-272,16;1,10;3,613;0;0,855;-194,45;23,70;-8,56;25,95;14,20;15,24%;-1,31%;0,96;3,93%;-0,40%;0,00;1.077.600.000,00;0,20;20,67%
DMMO3;1,76;-258,65;-1,72;2,854;0;3,346;11,90;6,37;-1,37;5,90;5,42;44,81%;-1,10%;2,25;70,39%;0,66%;0,00;-553.275.000,00;0,00;-17,37%
ALPK3;3,61;-227,04;2,26;0,461;0;0,304;-10,10;1,91;-0,47;4,89;3,06;24,20%;0,21%;0,88;19,02%;-0,99%;595609,00;350.870.000,00;4,45;25,64%
RJCP3;0,01;-224,70;0,65;0,000;0;0,619;0,00;-522,94;0,00;-523,96;-917,32;0,00%;0,00%;0,00;0,00%;-0,29%;0,00;17.287.200,00;0,00;0,00%
ABYA3;4,91;-214,80;1,76;2,055;0;0,527;1,98;19,96;-2,75;33,67;33,67;10,29%;-0,96%;2,09;2,78%;-0,82%;0,00;292.060.000,00;1,31;16,41%
PITI4;1,28;-204,74;0,00;0,000;0;0,000;0,00;-2.637,65;0,00;-2637,65;111,07;0,00%;0,00%;0,00;0,00%;0,00%;0,00;0,00;0,00;-29,63%
OPCT3;7,83;-181,44;1,71;0,863;0;0,557;5,12;6,40;-1,53;11,50;5,26;13,49%;-0,48%;1,54;10,14%;-0,94%;4575320,00;916.790.000,00;1,69;29,91%
TUPY4;48,21;-171,19;2,02;0,616;0;0,630;1,72;9,70;-10,46;13,66;8,52;6,35%;-0,37%;2,41;8,93%;-1,18%;0,00;3.163.240.000,00;1,28;15,24%
GOLL4;0,79;-155,80;-59,93;45,389;0;36,378;-218,83;-783,80;-28,05;-794,05;1.206,47;-5,79%;-29,13%;0,65;-5,98%;38,47%;0,00;-15.861.600.000,00;-1,02;37,35%
ENEV3;16,50;-148,65;1,64;2,078;0;0,599;12,03;9,78;-1,36;14,47;8,62;21,25%;1,63%;1,42;6,76%;-1,10%;179108000,00;19.495.000.000,00;0,98;40,24%
LCSA3;12,50;-120,23;-81,22;28,405;0;44,638;-72,05;-180,18;-34,41;-180,95;-180,95;-15,77%;-23,63%;0,29;-28,74%;67,55%;0,00;-377.568.000,00;-0,35;6.354,07%
MAGG3;59,40;-119,98;1,32;0,684;0;0,440;9,32;4,07;-1,55;6,41;5,34;16,82%;-0,57%;1,14;14,05%;-1,10%;0,00;2.246.130.000,00;1,03;9,27%
SQIA3;27,37;-110,33;3,70;3,592;0;1,490;25,87;62,33;-3,84;67,32;18,50;5,76%;-2,88%;1,43;2,81%;-3,35%;0,00;650.717.000,00;0,65;46,32%
PETZ3;3,61;-103,30;0,99;0,484;0,0798;0,438;2,89;8,49;-2,22;8,76;3,13;5,70%;-0,47%;1,72;6,38%;-0,96%;19575300,00;1.682.180.000,00;0,25;17,34%
LINX3;37,40;-90,95;4,38;7,885;0,0152;2,745;11,96;53,17;47,06;51,49;22,97;14,83%;-8,67%;2,14;6,82%;-4,81%;0,00;1.619.010.000,00;0,22;15,54%
BNCA3;70,30;-90,30;2,45;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-2,72%;0,00;3.068.150.000,00;0,00;2,41%
AMIL3;32,20;-73,28;7,70;1,129;0;2,003;-16,95;136,58;-5,43;138,61;50,13;0,83%;-1,53%;0,75;2,22%;-10,51%;0,00;1.532.980.000,00;1,24;28,47%
EVEN3;7,16;-67,95;0,76;0,960;0;0,279;0,46;7,33;1,47;8,37;8,20;13,09%;4,13%;4,80;4,72%;-1,11%;4792330,00;1.896.160.000,00;0,59;-3,12%
UCAS3;1,23;-67,57;0,44;0,354;0,1476;0,215;4,46;-7,34;-0,92;-13,97;25,04;-4,82%;-0,52%;1,21;-3,37%;-0,65%;59900,70;184.099.000,00;0,61;3,35%
BRTP3;35,71;-67,26;2,45;1,168;0;0,684;8,98;6,03;-2,40;7,55;7,55;19,37%;-2,96%;1,29;13,41%;-3,64%;0,00;5.302.340.000,00;0,91;3,66%
IDVL11;140,00;-66,00;60,56;0,000;0;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-91,76%;0,00;237.683.000,00;0,00;0,00%
